State,District,Crop,Season,Season_Order,Crop_Year,Start_Year,End_Year,Season_Start_Month,Season_End_Month,Season_Months,Season_Start_Year,Season_End_Year,Season_Crosses_Calendar_Year,Area_Ha,Production_Tonnes,Yield_Ton_per_Ha,Production_YoY_Change_Pct,Yield_YoY_Change_Pct,Area_YoY_Change_Pct,Production_3Y_Mean,Yield_3Y_Mean,Production_Deviation_From_3Y_Mean,Yield_Deviation_From_3Y_Mean
Andaman and Nicobar Islands,Nicobars,Cashewnut,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,19.0,15.0,0.79,0.0,0.0,0.0,15.0,0.79,0.0,0.0
Andaman and Nicobar Islands,Nicobars,Cashewnut,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,19.0,18.0,0.95,20.0,20.253165,0.0,15.0,0.79,3.0,0.16
Andaman and Nicobar Islands,Nicobars,Cashewnut,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,15.0,8.0,0.53,-55.555556,-44.210526,-21.052632,16.0,0.843333,-8.0,-0.313333
Andaman and Nicobar Islands,Nicobars,Cashewnut,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,13.0,6.0,0.46,-25.0,-13.207547,-13.333333,13.666667,0.756667,-7.666667,-0.296667
Andaman and Nicobar Islands,Nicobars,Dry Ginger,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,0.6,0.75,1.25,,,,,,,
Andaman and Nicobar Islands,Nicobars,Dry Ginger,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,0.8,1.6,2.0,113.333333,60.0,33.333333,0.75,1.25,0.85,0.75
Andaman and Nicobar Islands,Nicobars,Dry chillies,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,8.0,1.9,0.24,,,,,,,
Andaman and Nicobar Islands,Nicobars,Dry chillies,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,11.85,15.45,1.3,713.157895,441.666667,48.125,1.9,0.24,13.55,1.06
Andaman and Nicobar Islands,Nicobars,Dry chillies,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,14.72,19.49,1.32,26.148867,1.538462,24.219409,8.675,0.77,10.815,0.55
Andaman and Nicobar Islands,Nicobars,Dry chillies,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,19.5,19.8,1.02,1.590559,-22.727273,32.472826,12.28,0.953333,7.52,0.066667
Andaman and Nicobar Islands,Nicobars,Dry chillies,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,11.8,18.4,1.56,-7.070707,52.941176,-39.487179,18.246667,1.213333,0.153333,0.346667
Andaman and Nicobar Islands,Nicobars,Ginger,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,0.62,1.05,1.69,,,,,,,
Andaman and Nicobar Islands,Nicobars,Ginger,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,0.62,4.9,7.9,366.666667,367.455621,0.0,1.05,1.69,3.85,6.21
Andaman and Nicobar Islands,Nicobars,Ginger,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,0.6,0.8,1.33,-83.673469,-83.164557,-3.225806,2.975,4.795,-2.175,-3.465
Andaman and Nicobar Islands,Nicobars,Maize,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,1.5,1.7,1.13,,,,,,,
Andaman and Nicobar Islands,Nicobars,Moong(Green Gram),Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,1.955,6.04,3.09,,,,,,,
Andaman and Nicobar Islands,Nicobars,Rice,Autumn,2,2018-19,2018,2019,8,11,"8,9,10,11",2018,2018,0,4.1,6.01,1.47,,,,,,,
Andaman and Nicobar Islands,Nicobars,Rice,Autumn,2,2019-20,2019,2020,8,11,"8,9,10,11",2019,2019,0,3.1,4.3,1.39,-28.452579,-5.442177,-24.390244,6.01,1.47,-1.71,-0.08
Andaman and Nicobar Islands,Nicobars,Rice,Autumn,2,2022-23,2022,2023,8,11,"8,9,10,11",2022,2022,0,1.0,1.26,1.26,,,,4.3,1.39,-3.04,-0.13
Andaman and Nicobar Islands,Nicobars,Sugarcane,Autumn,2,2018-19,2018,2019,8,11,"8,9,10,11",2018,2018,0,3.0,10.0,3.33,,,,,,,
Andaman and Nicobar Islands,Nicobars,Sugarcane,Autumn,2,2019-20,2019,2020,8,11,"8,9,10,11",2019,2019,0,3.7,15.0,4.05,50.0,21.621622,23.333333,10.0,3.33,5.0,0.72
Andaman and Nicobar Islands,Nicobars,Sugarcane,Autumn,2,2020-21,2020,2021,8,11,"8,9,10,11",2020,2020,0,3.3,13.5,4.09,-10.0,0.987654,-10.810811,12.5,3.69,1.0,0.4
Andaman and Nicobar Islands,Nicobars,Sugarcane,Autumn,2,2021-22,2021,2022,8,11,"8,9,10,11",2021,2021,0,5.5,30.1,5.47,122.962963,33.740831,66.666667,12.833333,3.823333,17.266667,1.646667
Andaman and Nicobar Islands,Nicobars,Sweet potato,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,2.14,60.56,28.3,,,,,,,
Andaman and Nicobar Islands,Nicobars,Sweet potato,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,4.64,132.56,28.57,118.890357,0.954064,116.82243,60.56,28.3,72.0,0.27
Andaman and Nicobar Islands,Nicobars,Sweet potato,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,5.4,131.11,24.28,-1.093844,-15.015751,16.37931,96.56,28.435,34.55,-4.155
Andaman and Nicobar Islands,Nicobars,Sweet potato,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,6.0,126.5,21.08,-3.516131,-13.179572,11.111111,108.076667,27.05,18.423333,-5.97
Andaman and Nicobar Islands,Nicobars,Sweet potato,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,24.5,150.0,6.12,18.577075,-70.967742,308.333333,130.056667,24.643333,19.943333,-18.523333
Andaman and Nicobar Islands,Nicobars,Turmeric,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,3.83,0.65,0.17,,,,,,,
Andaman and Nicobar Islands,Nicobars,Turmeric,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,5.4,9.8,1.81,1407.692308,964.705882,40.992167,0.65,0.17,9.15,1.64
Andaman and Nicobar Islands,Nicobars,Turmeric,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,4.0,2.0,0.5,-79.591837,-72.375691,-25.925926,5.225,0.99,-3.225,-0.49
Andaman and Nicobar Islands,Nicobars,Turmeric,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,2.0,1.2,0.6,-40.0,20.0,-50.0,4.15,0.826667,-2.95,-0.226667
Andaman and Nicobar Islands,Nicobars,Turmeric,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,1.0,0.51,0.51,-57.5,-15.0,-50.0,4.333333,0.97,-3.823333,-0.46
Andaman and Nicobar Islands,Nicobars,Urad,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,2.045,5.0,2.44,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Arecanut,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,2297.49,6476.0,2.82,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Arecanut,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,2351.11,5343.05,2.27,-17.494595,-19.503546,2.333851,6476.0,2.82,-1132.95,-0.55
Andaman and Nicobar Islands,North and middle andaman,Arecanut,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,2424.25,6288.38,2.59,17.692704,14.096916,3.110871,5909.525,2.545,378.855,0.045
Andaman and Nicobar Islands,North and middle andaman,Arecanut,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,2527.2,5386.13,2.13,-14.347892,-17.760618,4.246674,6035.81,2.56,-649.68,-0.43
Andaman and Nicobar Islands,North and middle andaman,Arecanut,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,2607.3,6153.68,2.36,14.250492,10.798122,3.169516,5672.52,2.33,481.16,0.03
Andaman and Nicobar Islands,North and middle andaman,Arhar/Tur,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,2.1,0.2,0.1,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Arhar/Tur,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,2.7,0.5,0.19,150.0,90.0,28.571429,0.2,0.1,0.3,0.09
Andaman and Nicobar Islands,North and middle andaman,Arhar/Tur,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,1.0,0.3,0.3,-40.0,57.894737,-62.962963,0.35,0.145,-0.05,0.155
Andaman and Nicobar Islands,North and middle andaman,Black pepper,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,10.03,3.0,0.3,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Black pepper,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,9.92,2.25,0.23,-25.0,-23.333333,-1.09671,3.0,0.3,-0.75,-0.07
Andaman and Nicobar Islands,North and middle andaman,Black pepper,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,9.26,2.8,0.3,24.444444,30.434783,-6.653226,2.625,0.265,0.175,0.035
Andaman and Nicobar Islands,North and middle andaman,Black pepper,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,9.36,2.89,0.31,3.214286,3.333333,1.079914,2.683333,0.276667,0.206667,0.033333
Andaman and Nicobar Islands,North and middle andaman,Black pepper,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,41.98,3.15,0.08,8.99654,-74.193548,348.504274,2.646667,0.28,0.503333,-0.2
Andaman and Nicobar Islands,North and middle andaman,Cashewnut,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,4.16,6.58,1.58,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Cashewnut,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,12.16,4.82,0.4,-26.74772,-74.683544,192.307692,6.58,1.58,-1.76,-1.18
Andaman and Nicobar Islands,North and middle andaman,Cashewnut,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,12.19,5.45,0.45,13.070539,12.5,0.246711,5.7,0.99,-0.25,-0.54
Andaman and Nicobar Islands,North and middle andaman,Cashewnut,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,12.2,5.32,0.44,-2.385321,-2.222222,0.082034,5.616667,0.81,-0.296667,-0.37
Andaman and Nicobar Islands,North and middle andaman,Cashewnut,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,12.03,4.65,0.39,-12.593985,-11.363636,-1.393443,5.196667,0.43,-0.546667,-0.04
Andaman and Nicobar Islands,North and middle andaman,Dry Ginger,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,92.3,353.91,3.83,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Dry Ginger,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,116.88,479.72,4.1,35.548586,7.049608,26.630553,353.91,3.83,125.81,0.27
Andaman and Nicobar Islands,North and middle andaman,Dry chillies,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,182.05,655.09,3.6,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Dry chillies,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,35.89,93.83,2.61,-85.676777,-27.5,-80.285636,655.09,3.6,-561.26,-0.99
Andaman and Nicobar Islands,North and middle andaman,Dry chillies,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,20.44,98.36,4.81,4.82788,84.291188,-43.048203,374.46,3.105,-276.1,1.705
Andaman and Nicobar Islands,North and middle andaman,Dry chillies,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,44.15,163.22,3.7,65.94144,-23.076923,115.998043,282.426667,3.673333,-119.206667,0.026667
Andaman and Nicobar Islands,North and middle andaman,Dry chillies,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,7.78,165.14,21.23,1.176326,473.783784,-82.378256,118.47,3.706667,46.67,17.523333
Andaman and Nicobar Islands,North and middle andaman,Ginger,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,92.29,245.14,2.66,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Ginger,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,90.58,275.67,3.04,12.454108,14.285714,-1.852855,245.14,2.66,30.53,0.38
Andaman and Nicobar Islands,North and middle andaman,Ginger,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,89.78,367.71,4.1,33.387746,34.868421,-0.883197,260.405,2.85,107.305,1.25
Andaman and Nicobar Islands,North and middle andaman,Groundnut,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,2.0,1.2,0.6,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Groundnut,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,3.0,1.7,0.57,41.666667,-5.0,50.0,1.2,0.6,0.5,-0.03
Andaman and Nicobar Islands,North and middle andaman,Groundnut,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,5.5,3.0,0.55,76.470588,-3.508772,83.333333,1.45,0.585,1.55,-0.035
Andaman and Nicobar Islands,North and middle andaman,Groundnut,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,5.5,3.1,0.56,3.333333,1.818182,0.0,1.966667,0.573333,1.133333,-0.013333
Andaman and Nicobar Islands,North and middle andaman,Groundnut,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,4.5,2.7,0.6,-12.903226,7.142857,-18.181818,2.6,0.56,0.1,0.04
Andaman and Nicobar Islands,North and middle andaman,Maize,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,12.23,26.46,2.16,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Maize,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,15.37,44.05,2.87,66.477702,32.87037,25.674571,26.46,2.16,17.59,0.71
Andaman and Nicobar Islands,North and middle andaman,Maize,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,35.55,103.97,2.92,136.027242,1.74216,131.29473,35.255,2.515,68.715,0.405
Andaman and Nicobar Islands,North and middle andaman,Maize,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,11.71,35.14,3.0,-66.201789,2.739726,-67.060478,58.16,2.65,-23.02,0.35
Andaman and Nicobar Islands,North and middle andaman,Maize,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,15.14,34.22,2.26,-2.618099,-24.666667,29.291204,61.053333,2.93,-26.833333,-0.67
Andaman and Nicobar Islands,North and middle andaman,Moong(Green Gram),Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,99.8,20.96,0.21,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Moong(Green Gram),Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,359.6,215.07,0.6,926.097328,185.714286,260.320641,20.96,0.21,194.11,0.39
Andaman and Nicobar Islands,North and middle andaman,Moong(Green Gram),Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,219.55,89.07,0.41,-58.585577,-31.666667,-38.946051,118.015,0.405,-28.945,0.005
Andaman and Nicobar Islands,North and middle andaman,Moong(Green Gram),Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,200.29,65.48,0.33,-26.484787,-19.512195,-8.772489,108.366667,0.406667,-42.886667,-0.076667
Andaman and Nicobar Islands,North and middle andaman,Moong(Green Gram),Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,201.05,72.95,0.36,11.408064,9.090909,0.37945,123.206667,0.446667,-50.256667,-0.086667
Andaman and Nicobar Islands,North and middle andaman,Rapeseed &Mustard,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,0.3,1.2,4.0,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Rapeseed &Mustard,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,0.5,0.1,0.2,,,,1.2,4.0,-1.1,-3.8
Andaman and Nicobar Islands,North and middle andaman,Rapeseed &Mustard,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,0.55,0.13,0.24,30.0,20.0,10.0,0.65,2.1,-0.52,-1.86
Andaman and Nicobar Islands,North and middle andaman,Rapeseed &Mustard,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,0.5,0.46,0.92,253.846154,283.333333,-9.090909,0.115,0.22,0.345,0.7
Andaman and Nicobar Islands,North and middle andaman,Rice,Autumn,2,2018-19,2018,2019,8,11,"8,9,10,11",2018,2018,0,5222.85,11055.78,2.12,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Rice,Autumn,2,2019-20,2019,2020,8,11,"8,9,10,11",2019,2019,0,5630.47,17771.58,3.16,60.744696,49.056604,7.804551,11055.78,2.12,6715.8,1.04
Andaman and Nicobar Islands,North and middle andaman,Rice,Autumn,2,2022-23,2022,2023,8,11,"8,9,10,11",2022,2022,0,4915.15,10369.04,2.11,,,,17771.58,3.16,-7402.54,-1.05
Andaman and Nicobar Islands,North and middle andaman,Sesamum,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,1.2,0.3,0.25,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Sesamum,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,0.5,0.3,0.6,0.0,140.0,-58.333333,0.3,0.25,0.0,0.35
Andaman and Nicobar Islands,North and middle andaman,Sesamum,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,1.5,0.9,0.6,200.0,0.0,200.0,0.3,0.425,0.6,0.175
Andaman and Nicobar Islands,North and middle andaman,Sesamum,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,1.65,1.0,0.61,11.111111,1.666667,10.0,0.5,0.483333,0.5,0.126667
Andaman and Nicobar Islands,North and middle andaman,Sesamum,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,1.0,0.45,0.45,-55.0,-26.229508,-39.393939,0.733333,0.603333,-0.283333,-0.153333
Andaman and Nicobar Islands,North and middle andaman,Sugarcane,Autumn,2,2018-19,2018,2019,8,11,"8,9,10,11",2018,2018,0,94.83,385.43,4.06,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Sugarcane,Autumn,2,2019-20,2019,2020,8,11,"8,9,10,11",2019,2019,0,61.31,440.82,7.19,14.370962,77.093596,-35.347464,385.43,4.06,55.39,3.13
Andaman and Nicobar Islands,North and middle andaman,Sugarcane,Autumn,2,2020-21,2020,2021,8,11,"8,9,10,11",2020,2020,0,88.8,393.93,4.44,-10.636995,-38.247566,44.83771,413.125,5.625,-19.195,-1.185
Andaman and Nicobar Islands,North and middle andaman,Sugarcane,Autumn,2,2021-22,2021,2022,8,11,"8,9,10,11",2021,2021,0,47.1,205.26,4.36,-47.894296,-1.801802,-46.959459,406.726667,5.23,-201.466667,-0.87
Andaman and Nicobar Islands,North and middle andaman,Sugarcane,Autumn,2,2022-23,2022,2023,8,11,"8,9,10,11",2022,2022,0,33.0,238.0,7.21,15.950502,65.366972,-29.936306,346.67,5.33,-108.67,1.88
Andaman and Nicobar Islands,North and middle andaman,Sunflower,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,0.2,0.6,3.0,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Sweet potato,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,26.87,260.97,9.71,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Sweet potato,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,30.11,198.43,6.59,-23.96444,-32.131823,12.058057,260.97,9.71,-62.54,-3.12
Andaman and Nicobar Islands,North and middle andaman,Sweet potato,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,34.43,387.01,11.24,95.036033,70.561457,14.347393,229.7,8.15,157.31,3.09
Andaman and Nicobar Islands,North and middle andaman,Sweet potato,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,23.03,202.23,8.78,-47.745536,-21.886121,-33.110659,282.136667,9.18,-79.906667,-0.4
Andaman and Nicobar Islands,North and middle andaman,Sweet potato,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,21.45,272.72,12.71,34.856352,44.76082,-6.860617,262.556667,8.87,10.163333,3.84
Andaman and Nicobar Islands,North and middle andaman,Turmeric,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,51.63,193.03,3.74,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Turmeric,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,51.91,120.23,2.32,-37.714345,-37.967914,0.54232,193.03,3.74,-72.8,-1.42
Andaman and Nicobar Islands,North and middle andaman,Turmeric,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,52.82,205.08,3.88,70.573068,67.241379,1.753034,156.63,3.03,48.45,0.85
Andaman and Nicobar Islands,North and middle andaman,Turmeric,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,54.2,176.63,3.26,-13.872635,-15.979381,2.612647,172.78,3.313333,3.85,-0.053333
Andaman and Nicobar Islands,North and middle andaman,Turmeric,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,41.24,9.14,0.22,-94.825341,-93.251534,-23.911439,167.313333,3.153333,-158.173333,-2.933333
Andaman and Nicobar Islands,North and middle andaman,Urad,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,181.2,29.24,0.16,,,,,,,
Andaman and Nicobar Islands,North and middle andaman,Urad,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,154.9,83.08,0.54,184.131327,237.5,-14.514349,29.24,0.16,53.84,0.38
Andaman and Nicobar Islands,North and middle andaman,Urad,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,405.0,159.03,0.39,91.41791,-27.777778,161.459006,56.16,0.35,102.87,0.04
Andaman and Nicobar Islands,North and middle andaman,Urad,Rabi,3,2021-22,2021,2022,10,3,"10,11,12,1,2,3",2021,2022,1,356.39,107.0,0.3,-32.717097,-23.076923,-12.002469,90.45,0.363333,16.55,-0.063333
Andaman and Nicobar Islands,North and middle andaman,Urad,Rabi,3,2022-23,2022,2023,10,3,"10,11,12,1,2,3",2022,2023,1,330.2,118.08,0.36,10.35514,20.0,-7.348691,116.37,0.41,1.71,-0.05
Andaman and Nicobar Islands,South andamans,Arecanut,Rabi,3,2018-19,2018,2019,10,3,"10,11,12,1,2,3",2018,2019,1,1220.2,5828.69,4.78,,,,,,,
Andaman and Nicobar Islands,South andamans,Arecanut,Rabi,3,2019-20,2019,2020,10,3,"10,11,12,1,2,3",2019,2020,1,1372.19,5070.75,3.7,-13.003608,-22.594142,12.456155,5828.69,4.78,-757.94,-1.08
Andaman and Nicobar Islands,South andamans,Arecanut,Rabi,3,2020-21,2020,2021,10,3,"10,11,12,1,2,3",2020,2021,1,1372.2,7370.17,5.37,45.346744,45.135135,0.000729,5449.72,4.24,1920.45,1.13
